file_name,text
image_1058,ප්‍රතිපත්තිමය සහ තීන්දු තීරණ ගැනීමේ ඇමති මට්ටමේ සාකච්ඡාවක්
image_1060,වරදකාරිත්වයට අදාළව ප්‍රශ්න ගැන නැගිණි
image_1061,ෆලූඩා තෘණ රූ ඊළඟ භක්‍ෂ ඍණ
image_1063,ඒ අතීතය මේ මොහොතේ මතක් වුණේ දඬුලේනා පිළිබඳ ප්‍රතිපත්තිමය
image_1064,හිමයේ තිබුණු කඩ දිසාපතිතුමාගේ බලපත්‍රලාභීන් විසින්
image_1065,පවත්වාගෙන යනු ලැබීය. සෑම කඩයකම පාහේ
image_1066,'ටිපිටිප්' වැනි දේවල් වෙනුවට එදා තිබුණේ අමුතු ටිපිටිප්
image_1067,හා ජාත්‍යන්තර මූල්‍ය අරමුදලේ නිලධාරින් අතර සාකච්ඡා පිළිබඳ
image_1069,භෘඊ බැංකුව සහ සිරස නිවුස් දීප ව්‍යාප්තව
image_1070,පවත්වන ”ශ‍්‍රී ලංකා වනිතාභිමාන” කාන්තා දින
image_1071,වැඩමුළුව සහ කාන්තාවන් ඇඟයිමේ පළමු අඬහැරය
image_1072,ඛනිජ ඉෂ්ටාර්ථ සාකච්ඡා ආඝ්‍රාණ ප්‍රකාශයේදී
image_1073,කන්ද උඩරටින් එනම්ල මධ්‍යම පළාතෙන්
image_1075,ලැබුණු දරුණු අත්දැකීම්වලට අනුව පෙන්නුම්
image_1076,පොදුවේ පිළිගැනේ. මෙකී යුක්ති සහගත විශ්වාසය ශක්තිමත්
image_1078,වර්තමානයක් සහ අනාගතයක් බිහි කරනුවස්
image_108,අවිවාහක
image_1080,වගකීම් භාවිතා කරන බවටත් සහතික කර
image_1081,ඇති එම ප්‍රතිඥාවේ ඉහත සඳහන් සියලු
image_1082,යැයි ද සඳහන් ව ඇත.
image_1083,ඨාන ෆලූඩා තෘණ රූ ඊළඟ භක්‍ෂ ඍණ
image_1084,ඛනිජ ඉෂ්ටාර්ථ සාකච්ඡා ආඝ්‍රාණ ප්‍රකාශයේදී සංඝ
image_1085,බොජ්ඣංග පිපිඤ්ඤා ගූඪ ඖෂධ මඬුළු එළු
image_1087,ඉඦූ උඩඟු ඨාන ෆලූඩා තෘණ රූ ඊළඟ
image_109,රැකියා
image_11,කාර්මික ශිල්පි
image_112,"01, කටුබැද්ද , මොරටුව"
image_113,බණ්ඩාර
image_114,කි.මී 30
image_115,ලේකම්ගේ
image_118,බණ්ඩාර
image_12,මැෂින් වල දෝෂ පරීක්ෂා කිරීම
image_121,කුරුණෑගල
image_122,ස්ත්‍රී
image_123,ඉංජිනේරු
image_125,පී.ජී. එම් . එස් . ගුණරත්න
image_126,ඉංජිනේරු උපාධිදාරී
image_127,මාර්ග සංවර්ධන අධිකාරිය
image_128,"මාර්ග සංවර්ධ අධිකාරිය , කුරුණෑගල"
image_129,"මල්කඩුවාව , කුරුණෑගල"
image_13,සිංහල
image_130,මැහුම් හා සම්භන්ද නව දැනුම් පථයන් පිළිබද අවබෝධයක් ලබා ගැනීම
image_131,විධායක ඉංජිනේරු
image_132,එච්. කේ. විජේසේන
image_133,පී. ජි. එම්. එස්. ගුණරත්න
image_134,මැහුම් හා ඉංජිනේරු
image_135,7 වන
image_136,පෝලියෝ
image_137,"කහටගස්දිගිලිය , සමගි මාවත , අංක 23 නිවසේ"
image_139,කහටගස්දිගිලිය මහසෙන් කණිෂ්ට විද්‍යාලය
image_14,ගණිතය
image_140,කි.මී 10 ක්
image_141,සුමුදු චන්ද්‍රසූරිය
image_142,අමල් සිල්වා
image_143,මල්ලව ආරච්චිගේ දොන් කවිදු ඉදුසර
image_144,7 වන
image_146,කුරුණෑගල
image_150,හොරාම්බාව
image_151,හොරොම්බාව
image_152,තමල් ශාලින් ද පෙරේරා
image_153,"විශාදය , කාංසාව"
image_154,අමල් මාලින්ද පෙරේරා
image_155,නාරම්මල මයුරපාද මධ්‍ය විද්‍යාලය
image_156,මොරටුව
image_157,කොළඹ
image_158,මොරටුව
image_159,පුරුෂ
image_16,ඉතිහාසය
image_160,පෙරේරා
image_161,"36 , 1 වන පටුමග, පිළියන්දල"
image_162,සංජීව තිසේරා
image_164,සුමුදු විජේසිංහ
image_166,රුවනි සසිනි ශ්‍යාමණී ගුණහිලක
image_167,"238 , ඇඹරළුව උතුර , වැලිවේරිය"
image_168,මහේෂිකා සිරිවර්ධන
image_169,"38 , ඔරුතොට පාර , ගම්පහ"
image_17,ඉංග්‍රිසි
image_170,අයකැමි
image_171,බණ්ඩාරවත්ත
image_172,ගම්පහ
image_173,ගම්පහ
image_175,ලංකා බැංකුව
image_176,1 වන හරස් වීදිය
image_177,සදුනි නෙත්මි පුෂ්පකුමාර
image_178,මහජන බැංකුව
image_179,කෙලින් වීදිය කඩවත
image_180,කමල් සිරිපාල ගුණරත්න
image_181,පියා
image_182,අයිතිකරු
image_184,"අංක 24/A කැන්දලියද්දපාළුව, රාගම"
image_185,කරණපාල
image_186,"අංක 15/1 රම්මුතුගල, කඩවත"
image_187,රාගමදී
image_188,රාගමදී
image_189,නෙත්මි
image_19,ගම්පහ
image_190,කඩවත
image_191,කඩවත
image_192,ගම්පහ
image_193,නො . 18
image_194,ඉහළ කරගහමුණ
image_196,අදාළ නොවේ
image_198,ගුණවංධන
image_199,ඉෂාරා නෙත්මි
image_20,සිංහල
image_200,සංචාරක
image_201,පෙරේරා
image_204,දිසානායක
image_205,හෝමාගම
image_206,හෝමාගම
image_207,රූපිකා
image_208,පෙරේරා
image_209,මාලිනී
image_21,ගිණුම්කරණය
image_210,රූපිකා පෙරේරා
image_214,සමෘද්ධි මාවත
image_215,නො. 05
image_216,ඉඹුල්ගොඩ
image_217,ගම්පහ
image_218,ගම්පහ
image_219,නො. 10/A
image_22,ශලනි තාරුකා වික්‍රමසිංහ
image_221,ගම්පහ
image_223,පියඋරුමය
image_224,දවටගහවත්ත
image_225,උඩුපිල
image_226,අක්කර1 පර්චස්3
image_227,රුක්ගහ . කුඹුර
image_228,ගමමැද පාර
image_229,රංහාමිට අයිති ඉඩම
image_23,"නො 265/7 ගෝනවල, කැලණිය"
image_230,නිවසක් තැනීමට
image_231,ප්‍රේමකුමාර
image_233,දෙල්ගොඩ
image_234,අංක
image_235,විතාන
image_236,විතාන ආරච්චිගේ චම්පා මල්කාන්ති
image_237,ශ්‍රී බෝධි පාර ගම්පහ
image_238,"කලාප අධ්‍යාපන කාර්‍යාලය , හෝමාගම"
image_239,සුනිල් ‍රංජිත් මාපලගම
image_240,"සෞඛ්‍ය වෛද්‍ය නිලධාරි කාර්‍යාලය , මහරගම"
image_241,ඉෂාරා දේවින්දි
image_242,විතාන ආරච්චිගේ චම්පා මල්කාන්ති විතාන
image_243,කොට්ටාව
image_246,වාරිමාර්ග අමාත්‍යංශය
image_247,වාරිමාර්ග දෙපාර්තමේන්තුව
image_249,නැත
image_250,පතිරන
image_251,විද්‍යාර්ථ
image_252,ලේකම්
image_253,කටුබැද්ද
image_254,ශාස්ත්‍රවේදී පාඨමාලාව
image_255,සහතිකපතක් ලබා ගැනීම
image_256,සුදුසුකම් හා ප්‍රතිඵල
image_257,සුපුන් අකලංක මුදියංසගේ
image_258,"අංක 10, මොරටුව,"
image_259,තණමල්විල
image_26,ආර්ථික විද්‍යාව .
image_261,ජයවර්ධනපුර
image_262,සුමනදාස මුදියන්සේලාගේ සපුමල් පෙරේරා
image_263,පෙරේරා
image_264,"බෝපිටිය , තණමල්විල"
image_267,තණමල්විල
image_268,තේ මිල ඉහලයි
image_269,මොරටුව මහා ශිෂ්‍ය සංගමය
image_270,ආපන ශාලාව
image_272,නැත
image_273,නැත
image_277,ඉඩම සහ නිවස
image_278,පර්චස්
image_279,ස්වර්ණභූමි
image_28,සිංහල සාහිත්‍යය
image_280,තාප්පය
image_281,තාප්පය
image_282,කටුබැද්ද
image_283,කොළඹ
image_284,ධනුෂ්ක සිල්වා
image_285,"මෝල්පේ පාර , කටුබැද්ද"
image_286,අක්කර
image_287,මෝල්පේ පාර
image_288,ඉණි වැට
image_293,ප්‍රවීණ්
image_295,ගුණසේකර
image_297,කොළඹ
image_3,වනසිංහ ආරච්චිගේ රත්නපාල වනසිංහ
image_30,"අවුරුදු එක , හමාරක සේවා පළපුරුද්දක් තිබීම."
image_300,වෘත්තීය පුහුණු සහතිකය
image_301,"සිල්වා මාවත, අතුරුගිරිය"
image_302,දිසානායක මුදියන්සේලාගේ නවීන්ද්‍ර යසිත් දිසානායක
image_303,ශාන්ත බර්නදෙන් විද්‍යාලය
image_305,"සූරිය නිවස මීගමු පාර, කලුගමුව"
image_306,පොල්ගහවෙල
image_308,කුරැණෑගල
image_309,ඔව්
image_31,නිරත වී සිටීම
image_310,කුරුණෑගල
image_311,ගල්කිස්ස
image_312,පොල්වන්ත ගාල්ලගේ මදාරා සේමිනී ගුණරත්න
image_313,පී.ජී.එම්.එස්. ගුණරත්න
image_314,නො20 නිර්මල පෙදෙස මල් කඩුවාව කුරුණෑගල
image_317,දෙවන ශ්‍ර්‍ර්ණිය
image_318,ප්‍රාදේශීය ලේකම් කාර්‍යයාලය කුරුණෑගල
image_319,දරුවා
image_321,වනසිංහ ආරච්චිගේ තිනිර ගේණුක වනසිංහ .
image_322,ශ්‍රී ලංකා
image_323,"කුරුණෑගල පාර, බෝහිංගමුව කුලියපිටිය"
image_324,සිගිති මල් පියස
image_326,වනසිංහ ආරච්චිගේ තිවංක ප්‍රියංකර වනසිංහ
image_328,"කුරුණෑගල පාර, බෝහිංගමුව, කුලියාපිටිය"
image_332,ප්‍රදාන විදායක
image_333,මාර්ග සංවර්ද්හ්න අදිකාරිය
image_334,වසර
image_335,මාතර
image_336,මාතර
image_337,නැත
image_338,කලා
image_339,ලේඛම්ලාගේ වාසනා ම්ල්කි ලෙකම් ලේ
image_341,ගාලු . පාර දෙවුන්දර
image_342,ලේකම්ලාගේ ප්‍රියන්ත ලේකම
image_343,"විදායක , නිලදාරී"
image_345,ස්වයං ‍රැකියා
image_346,විද්‍යාව
image_347,ඉංග්‍රීසි
image_348,පුරුෂ
image_351,අවිවාහක
image_352,පේදුරු ආරච්චිගේ හිරාන් කේෂර විජේසේන
image_355,සිංහල භාෂාව හා සාහිත්‍ය
image_356,බුද්ධ ධර්මය
image_357,ව්‍යාපාර අධ්‍යනය
image_359,සෞක්‍ය හා ශාරීරිය අධ්‍යාපනය
image_363,කලා බණ්ඩාරලාගේ සකුණි හිරුෂිකා බණ්ඩාර
image_364,පරිගණක විද්‍යාව හා ඉංජිනේරු
image_365,සමන්නාය . කොළඹ පාර පොතුහැර
image_367,සෙනෙවි
image_368,පුරුෂ
image_369,අවිවාහක
image_371,කලුතර
image_373,ගණිතය
image_375,ඉංග්‍රීසි
image_376,මදුරාවල
image_377,මදුරාවල
image_379,දුනුගල්ගේ චතුරංග ජයනාත්
image_38,බුද්ධ ධර්මය
image_380,"රෙමුණ , අඟුරුවාතොට"
image_382,තොරතුරු හා තාක්ෂණ
image_384,ව්‍යාපාර හා
image_385,රු දාහස ක්
image_386,ඉහත පුද්ගලයා හට මුදල ලබා දීමට නිර්දේශය
image_387,ලබා දෙමි.
image_388,නිර්දේශ කරමි
image_39,ප්‍රියසාද්
image_390,පහයි
image_391,දෙකයි
image_392,වසරයි.
image_393,දහයයි
image_395,ආමාත්‍යංශ ලේකම් සහයක - වසර තුනයි
image_396,2021 දොළහයි
image_397,2019 විසි දෙකයි
image_399,2017 දහහතරයි
image_4,"16 , ඉහල යාගොඩ , ඉඹුල්ගොඩ"
image_40,ලලිත්
image_400,ග්‍රාම සේවා සහතිකය
image_401,2020 පහළවයි
image_402,තුනයි
image_403,තුනයි
image_404,දහයයි
image_405,සාමාන්‍ය පෙළ විශිෂ්ට සාමාර්ථ
image_406,උසස් පෙළ විශිෂ්ට සාමාර්ථ
image_409,‍රොමේන් ශානිකා
image_410,පහ ශ්‍රේණිය ශිෂ්‍යත්ව විභාග ඉහළ 0 & සාමාර්ථ
image_412,වතුර බිල
image_415,"මොරටුව විශ්වවිද්‍යාලය,"
image_416,පේරාදෙනිය විශ්වවිද්‍යාලය
image_418,අවුරුදු
image_42,"240/B ජය මාවත , ඉංගිරිය"
image_420,රැකියාවක් සොයා
image_421,(කි.මී): 24
image_424,සිංහල
image_425,සඳුන් ඉඳුවර
image_426,පොලිස් වාර්තාව
image_427,විද්‍යුත් තැපැල්
image_431,තහවුරු කරමි
image_433,ග්‍රාමසේවක සහතිකය
image_434,සඳුන් කුමාර විතානගේ
image_436,පෙබරබාරි
image_439,පෙරේරා
image_442,තණමල්විල
image_443,නාට්‍ය හා රංග කලාව
image_444,බෝපිටිය තණමල්විල
image_445,කුරුණෑගල
image_446,ජේම්ස් ජෙරමායා
image_448,ඔව්
image_449,විධායක දෙවන ශ්‍රේණිය .
image_45,ගබඩා ලිපිකරු
image_450,අවුරුදු
image_454,අවසන් වසර කාමරය
image_456,අවුරුදු
image_457,නැත .
image_458,දිනය
image_459,වර්ෂය
image_46,"ඔෆර්ඩ් ඩයින් ආයතන අංක 63 , ඉහල බියන්විල්"
image_461,වර්ෂය
image_462,දිහය
image_463,ඌරුබොක්ක
image_465,ඔව්
image_466,පයින්
image_467,සිරිවර්ධන ස්ටෝර්ස්
image_468,කළණ රූබසිංහ 9
image_469,"කනත්ත පාර , තළතේපිටිය"
image_470,සිරිවර්ධන ස්ටොර්ස්
image_471,"සිරිවර්ධන ස්ටෝර්ස් , කැකුන්දෙණිය"
image_472,පී. කේ. සිරිවර්ධන
image_473,ඌරුබොක්ක කොටපොළ
image_474,ඉංජිනේරු
image_476,ඔව්.
image_478,මූණමල්දෙණිය
image_479,වික්‍රම ආරච්චි මලිත් දිල්ශාන්
image_48,රාජපක්ෂ මුදියන්සේලාගේ ලලිත් ප්‍රියසාද් රාජපක්ෂ
image_480,මලිත් දිල්ශාන්
image_481,පරිගණක විද්‍යාව
image_483,කඩවලගෙදර
image_486,ලසින් පත්මිල රාජකරුනාරත්න
image_487,"බර්ඩ් පාර්ක් කෝනර් , මාදිවෙල , කෝට්ටේ"
image_489,දිනූෂ අනුරුද්ධ
image_49,ලලිත් ප්‍රියසාද්
image_490," වීරගුල, යක්කල ."
image_491,ග්ලෝබල් ට්‍රේඩින් නෙට්වර්ක්
image_492,නැත.
image_494,ජ්‍යේෂ්ඨ පරිගණක ඉංජිනේරු
image_498,ඒකනායක ආරච්චිලාගේ ආකාශ් තාරුක
image_5,ශ්‍රී ලාංකික
image_50,චාමිනි නිසංසලා
image_500,ජ්‍යේෂ්ඨ මෘදුකාංග ඉංජිනේරු
image_501,පළමු ශ්‍රේණිය
image_502,පරිගණක ඉංජිනේරු අංශය
image_504,ශල්‍යකර්මයක් උදෙසා
image_505,සුපුල් පුෂ්පකුමාර
image_507,ජනප්‍රවාදය නොදනී
image_508,ප්‍රභවයද නොදනී
image_509,දරන්නාද නොදනී
image_51,"අංක 36 කටුවාන , හෝමාගම"
image_511,පුරුෂ
image_512,ශ්‍රී ලාංකික
image_513,"පේඩිපොල, උඩුගම්පල"
image_514,අභයවික්‍රම ජයවර්ධනගේ සංජීව රජිත්
image_515,සමාගමක්
image_516,මායා මාවත
image_517,කොළඹ
image_518,විවිධ සේවාවන් සැපයීම
image_519,මූල්‍ය කලමනාකරන කාර්යයන්
image_52,D. G. ගුණතිලක
image_520,ඔව්
image_521,ඔව්
image_523,වැඩි විස්තර නැත
image_524,සිංහල
image_527,මහා අධිකාරිය
image_529,කංකානම්ගේ ප්‍රවීන් ජෝසප් පෙරේරා
image_53,"අංක 283 / 1 රන්පොකුණු ගම , නිට්ටඹුව ."
image_532,වැලිවේරිය
image_533,ජල පෙරණය
image_535,බටහිර වැලිවේරිය
image_537,බටහිර වැලිවේරිය
image_538,කඩවත
image_539,ගම්පහ
image_54,අට්ටා2පිටිය
image_540,ක්‍රිකට්
image_541,ස්ත්‍රි
image_543,"ඉහළ ඉඹුල්ගොඩ, ඉඹුල්ගොඩ"
image_545,නිට්ටඹුව
image_546,ගම්පහ
image_547,මුදියන්සේලාගේ චෙනිරු ලක්සිදු
image_548,චෙනිරු ලක්සිදු
image_549,කොස්කදවල යොංගන්මුල්ල
image_550,සියනෑපීඨය (නිට්ටඹුව)
image_554,රත්නායක
image_555,වැරැල්ල වත්ත
image_556,"නුවර පාර, මුදුන්ගොඩ"
image_557,ඔප්පු අංකය
image_559,ප්‍රධාන පාර
image_56,බොල්ගොඩ
image_561,තෑඟි ඔප්පු
image_562,ගුණවර්ධන
image_563,"නුවරපාර, මිරිස්වත්ත ගම්පහ"
image_564,යාපා පතිරණලාගේ සදමාලි රත්නායක
image_566,කවීෂ
image_567,ඉලේපෙරුම
image_568,නැත
image_569,කවීෂ ඉලේපෙරුම
image_570,ශ්‍රී ලංකා
image_571,කොට්ටාව
image_572,පන්නිපිටිය
image_573,සමනල මාවත
image_574,කොළඹ
image_575,එම්. එම්. ජයවර්ධන
image_576,"ශ්‍රී බෝධි විද්‍යාලය, ගම්පහ"
image_577,ජේ. ඒ. ප්‍රසාදනී ජීවන්දර
image_578,එක්සත් මාවත උඩුගම්පොල
image_579,පොල්ගහවෙල
image_580,පී. බී. කමල්
image_581,"වන පටුමඟ, පොල්ගහවෙල"
image_582,ඔව්
image_583,ජා ඇල
image_585,කොටුව
image_586,මාර්තු - අගෝස්තු
image_588,වෛද්‍ය පීඨය
image_589,"අංක 30, මීගමුව පාර, ජා ඇල"
image_59,මොරටුව 73
image_590,සිරිවර්ධන
image_591,නෙත්මි මලීෂා සිරිවර්ධන
image_593,දෙහිවලගේ ගයනි නිසන්සලා පෙරේරා
image_597,හේවාහැට
image_598,ගැලනිගමගේ සනත් නිශාන්ත පීරිස්
image_599,පහන් අමරසිරි ගැලනිගමගේ සනත් නිශාන්ත පීරිස්
image_6,ජනහිත ටෙක් පුද්ගලික සමාගම
image_60,සමන් පුෂ්පකුමාර
image_600,උඩුදුම්බර පාර මල්වාන
image_601,උඩුපිල මල් කැකුළු පෙරපාසල
image_602,සරත් කොතලාවල පීරිස්
image_603,පහන් අමරසිරි සරත් කොතලාවල පීරිස්
image_604,"උඩුදුම්බර පාර, හේවාහැට වලව්වත්ත, නුවර"
image_605,"උඩුදුම්බර පාර, හේවාහැට,  වලව්වත්ත,  නුවර"
image_606,පියානන්
image_607,පරිගණක ඉංජිනේරු - දත්ත විද්‍යාඥ
image_608,"ඔරායන් සිටි, බේස්ලයින් පාර, බොරැල්ල"
image_609,ඩොලර් ( ඇමෙරිකානු )
image_610,වසර
image_611,ඕව්
image_613,"කටුගස්තොට, නුවර"
image_615,අමරසිංහගේ ඉෂාන් ඉමන්ත
image_616,ගොවිතැන
image_617,ස්ත්‍රි
image_618,කලා
image_619,අනුරාධපුරය
image_62,රිවිදු ගුණතිලක
image_620,අනුරාධපුරය
image_621,ගයනි කෞශල්‍යා සිල්වා
image_622,අනුරාධපුරය
image_624,සරත් උපසේන
image_627,ගණිතය
image_629,විද්‍යාව
image_63,බියසෝම
image_630,සංගීතය
image_631,සිංහල
image_633,ස්ත්‍රි
image_634,අවිවාහක
image_636,උක්වත්ත ලියනගේ දොන් කවිශ්කා මිහිරංගි
image_637,පට්ටිවිල ගොනවල
image_639,බුද්ධ ධර්මය
image_64,පෙරේරා
image_640,ගම්පහ
image_642,පැකට්
image_644,බුද්ධික රණතුංග
image_645,"පෑළියගොඩ , තොරණහන්දි"
image_646,පුරුෂ
image_647,වේයන්ගොඩ
image_649,ගම්පහ
image_65,විලියම් පෙරේරා
image_650,ගබඩා පාලක
image_651,නැගෙනහිර තල්ගස්මොටේ
image_652,ෂේරිප්
image_653,වැරැල්ල ලන්ද වත්ත
image_654,"තල්ගස්මොටේ , වේයන්ගොඩ"
image_656,හිදියාමුල්ල
image_657,පඩුවස්නුවර
image_658,පුරුෂ
image_659,ධනූෂ දිල්ශාන් සිරිසේන
image_66,පුරුෂ
image_660,කුලියාපිටිය කුලියාපිටිය මධ්‍ය විද්‍යාලය
image_661,වසර
image_662,ඇස් නොපෙනීම හා හදවත් රෝගය
image_663,සුපුල් කල්හාර
image_664,ශ්‍රී ලාංකික
image_665,වැඩ කරු
image_666,වෙල්ලාල මරියසෙල් ප්‍රවීන් පෙරේරා
image_668,"උයංගොඩ පෙදෙස, මාවනැල්ල"
image_67,බෞද්ධ
image_670,පුරුෂ
image_671,සුපර් ස්ටොර්ස්
image_673,තොග වෙළදසැල
image_674,තනි අයිතියක් ‍යටතේ වන ආයතනයක්
image_675,වැඩ කිරීම
image_677,කොළඹ
image_678,කබඩි
image_68,සිංහල
image_680,දේශාන් ලක්ෂිත වික්‍රමසිංහ
image_681,"අළුත් පටුමග, මකුළුව, ගාල්ල"
image_682,දසිත් සමරසිංහ
image_683,ධනුෂ හේවාගම
image_684,දිනූෂ සමරකෝන්
image_686,"බර්ඩ් පාරක් කෝනර්, මාදිවෙල , කෝට්ටේ"
image_687,විද්යුත් ප්‍රභවය
image_689,කඹුරු තෙරීමට
image_690,බින්දුවයි
image_691,දන්නැ
image_692,නොදනී
image_693,"දෙවෙනි පටුමග , එන්. එම්. පෙරේරා මාවත , බොරැල්ල"
image_694,නහන් ධනුෂ්ක කල්දේරා
image_695,සහන් ධනුෂ්ක කරා
image_696,"පළමු පටුමග, ගෝතමී පාර , බොරැල්ල ,කොළඹ"
image_697,එකක් නෑ
image_698,කියන්නේ නෑ
image_699,ධනූෂ හේවාගම
image_7,"52 , ජුබිලි මාවත , පෑලියගොඩ"
image_70,ගමගේ
image_700,කොල බෙදීම
image_701,මනක නෑ
image_702,දන්නෙ නැ
image_703,කොළඹ
image_705,"මල්වත්ත පාර , මාලබේ"
image_706,රුක සේනාරත්න
image_707,හේවාගම
image_708,ස්ත්‍රී
image_709,ගොඩපතිරින්නෑව
image_71,බෞද්ධ
image_710,ධනූෂ හේවාගම
image_711,පයියාගල
image_713,ගණිකා වෘත්තිය
image_714,කැබිතිගොල්ලාව
image_716,පොලුනෑව
image_717,ධනුෂ
image_718,ටී.එච්.අමරසිරි
image_719,නව නේවාසිකාගාරය
image_720,ප්‍රසාද් දර්ශන සදරුවන්
image_721,ඉංජිනේරු පීඨය
image_722,පරිගනක ඉංජිනේරු
image_723,අවසන් වසර වසර
image_725,දන්නෑ
image_726,දන්නෑ
image_727,නැත
image_728,වැලිකඩ ආරච්චිගේ දොන් ක්‍රිෂන් එවින්ද
image_73,ඔව්
image_730,දන්නෑ
image_731,නැත
image_732,නැත
image_733,කුරුණෑගල
image_735,නැත
image_738,සකුණි හිරුශිකා බණ්ඩාර
image_739,""" සමන්පාය "" , කොළඹ පාර පොතුහැර"
image_74,කො / රාජකීය
image_740,පෞද්ගලික තොරතුරු
image_741,දෙසැම්බර් දක්වා
image_743,පහන් ඉසුරු නානායක්කාර
image_744,විශ්ව විද්‍යාල ශිෂ්‍ය
image_745,මෘදකාංග ඉංජිනේරු
image_746,මොරව විශ්ව විද්‍යාලය
image_75,මහේන් ඉදුරංග ගමගේ
image_752,පුරුෂ
image_754,වනසිංහ
image_756,කළමණාකරු
image_757,මහපොළ ආධාර
image_76,එම් . අයි . ගමගේ
image_760,"අරලිය සෙවණ, නුගගහ යට, කොළඹ පාර, කජුවත්ත"
image_763,තිනිර
image_764,නැත
image_765,යසිරු ලක්ෂාන් වික්‍රමසිංහ
image_767,පරිගණක විද්‍යා සහ ඉංජිනේරු
image_768,හොස්ටල්
image_769,මොරටුව විශ්ව විද්‍යාලය
image_77,අකිල ඉදුරංග
image_770,කටුබැද්ද
image_771,ශිෂ්‍යාධාරයක් ලබා ගැනීමට
image_772,කුරුදුපාල
image_773,ඔව්
image_774,සුමනසමන් පියදාස අප්පුහාමි .
image_775,"ගලෙන්බිදුණුවැව , අනුරාධපුර"
image_776,ශාකසාර වගාව
image_778,දිනූෂ අප්පුහාමි
image_78,ගමගේ
image_780,පැමිණ මැලිබන් හන්දියෙන් වමට හැරෙන්න එම මාර්ගයේ
image_782,"තිලක් ගෙස්ට් හවුස්, වැලිපාර, ගාල්ල"
image_783,හෝටල් ගොඩනැගිල්ල .
image_784,මාස 6 යි
image_786,කුරුණෑගල
image_787,දේශාන් ලක්ෂිත
image_788,ස්වයංක්‍රීය හිරමනය
image_79,නිපුන් ප්‍රමුදිත අහංගම
image_793,රංජන් විජේරත්න
image_795,කලුත
image_799,මුදියන්සේලාගේ දනූෂ හේමාල් පෙරේරා
image_8,"M. ෆොන්සේකා ,"
image_80,විතානගේ
image_800,"58 / C , පන්සල් භාෂා , කලුතර උතු"
image_801,නැවුම්
image_802,අඩංගු ප්‍රමාණය
image_803,අඩංගු ප්‍රමාණය
image_804,අඩංගු ප්‍රමාණය
image_805,අඩංගු ප්‍රමාණය
image_808,සිංහල
image_81,බෞද්ධ
image_812,සඳුන් ඉඳුවර
image_813,සඳුන් කුමාර විතානගේ
image_814,"නො 52 , සිංහපුරපාර , හලාවත"
image_816,විද්‍යුත් තැපැල්
image_817,තහවුරු කරමි
image_818,උප්පැන්න පිටපත
image_82,ප්‍රියංගා ප්‍රසාදිනී අතුකෝරල
